Q,A
훼밀리파크의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 대산로 356이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
청우태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 대산로 58이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
뉴힐링라이프재활운동센터 일산점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 주화로 88이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
수케어의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 중앙로 1576이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
다짐필라테스탄현점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 탄현로 120이며, 해당 강좌는 주로 (5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
로사라인댄스예술회의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 호수로 898이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
로사라인댄스예술회의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 고양시 일산서구 호수로 898이며, 해당 강좌는 주로 (1, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
주식회사시드의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 과천시 매봉로 14이며, 해당 강좌는 주로 (4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
코리아태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 과천시 별양로 112이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 110000원 입니다."
에스에스당구장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 과천시 새술막길 38이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
과천도시공사(과천시청소년수련관)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 과천시 참마을로 9이며, 해당 강좌는 주로 (1, 2, 4, 6, 7, 8)월에 개최하며, 가격은 30000원 입니다."
경희대석사 거룡태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 광명로888번길 30이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
소하스타클래스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 기아로 46이며, 해당 강좌는 주로 (5, 7, 8)월에 개최하며, 가격은 140000원 입니다."
광명장애인종합복지관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 목감로 120이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 48000원 입니다."
점핑클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 신기로 7이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
네오키즈광명의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 안현로 52이며, 해당 강좌는 주로 (5, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
네오키즈광명의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 안현로 52이며, 해당 강좌는 주로 (3, 4, 5, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
네오키즈광명의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 안현로 52이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
로하스볼링라운지의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 오리로 970이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
경희대MTA태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 하안로 180이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
평화탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 하안로287번길 11이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 140000원 입니다."
평화탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광명시 하안로287번길 11이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 140000원 입니다."
베스트장애아동재활치료센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 곤지암읍 광여로 555-40이며, 해당 강좌는 주로 (1, 5, 6, 7, 8, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
베스트장애아동재활치료센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 곤지암읍 광여로 555-40이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
베스트장애아동재활치료센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 곤지암읍 광여로 555-40이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
찬스짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 능평로 63이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 88000원 입니다."
짐앤짐스 운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 능평로30번길 20-8이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
스마일키즈운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 순암로36번길 62-16이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
국가대표챔피언태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 신현로 121이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
가천대 미르태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 퇴촌면 천진암로 387이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
태전 한울 태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 광주시 회안대로 350-7이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
케어핏필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 갈매중앙로 89-10이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
캐롬박스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 갈매중앙로 89-5이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
씨엘필라테스구리점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 건원대로 44이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
플러그 구리센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 건원대로 44이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
김혜경언어심리상담센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 건원대로34번길 11이며, 해당 강좌는 주로 (1, 2, 4, 5, 6, 7, 8)월에 개최하며, 가격은 120000원 입니다."
토평경희대태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 벌말로129번길 17이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
구리무훈체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 이문안로 86이며, 해당 강좌는 주로 (1, 2, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
237탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 체육관로74번길 27이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
디엠댄스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 체육관로80번길 32이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
디엠댄스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 구리시 체육관로80번길 32이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
김영희탁구교실의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 광정로 78이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
메이드짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 광정로 78이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
빌드업풋볼클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 군포첨단산업2로7번길 8이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
와이제이피(YJP) 공연기획의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 금산로 55이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 120000원 입니다."
경희대석사선무태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 금재로25번길 4이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
에이제이근력컨디셔닝재활아카데미의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 번영로 497이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
빅스타탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 번영로 508이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
아이공간군포산본점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 번영로 515(산본동, 유화프라자)이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 80000원 입니다."
아이공간군포산본점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 번영로 515(산본동, 유화프라자)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
NJ댄스스튜디오의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 산본로323번길 16-30이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 120000원 입니다."
경희대거인체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 산본천로 31이며, 해당 강좌는 주로 (3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
한숲스포츠센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 군포시 산본천로 43-6이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 150000원 입니다."
한국스포츠서비스교육원(스마일키즈)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강1로 230이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
이솝움직임발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강1로51번길 18이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
김포천하태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강2로 273이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 120000원 입니다."
더가꾸다필라테스 평생교육원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강4로 521이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
경희대태권쏭태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강9로 30이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
크는아이 발달지원센터(김포점)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강9로 73이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
(주) 뉴힐링라이프재활운동센터김포의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 김포한강9로76번길 49이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
용인대새빛태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 봉화로182번길 42이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
베스트바디퍼스널트레이닝김포점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 사우중로 93이며, 해당 강좌는 주로 (4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
통진탁구장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 통진읍 조강로56번길 112이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
바디아트짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 풍무2로 11이며, 해당 강좌는 주로 (6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
한빛운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 풍무로68번길 44이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
한빛운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 김포시 풍무로68번길 44이며, 해당 강좌는 주로 (1, 4, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
주식회사 아사힘의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 가운로1길 25이며, 해당 강좌는 주로 (4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
가운태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 가운로2길 55이며, 해당 강좌는 주로 (1, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
열린탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 경춘로 1299이며, 해당 강좌는 주로 (3, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
sky탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 경춘로 386이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
비전탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 경춘로 982이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
커브스호평클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 늘을2로14번길 5이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
lsk움직임연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 다산중앙로 105-18이며, 해당 강좌는 주로 (1, 3, 6, 7)월에 개최하며, 가격은 110000원 입니다."
다이노 클라이밍의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 다산중앙로146번길 12-14이며, 해당 강좌는 주로 (5, 6, 7, 9)월에 개최하며, 가격은 110000원 입니다."
남양주도시공사 남양주체육문화센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 다산지금로 91이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 27500원 입니다."
남양주체육문화센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 다산지금로 91이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 27500원 입니다."
꿈마을협동조합의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 덕송3로 30이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
꿈마을협동조합의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 덕송3로 30이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 110000원 입니다."
명인태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 별내3로 340이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 7, 8)월에 개최하며, 가격은 110000원 입니다."
끌림필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 오남읍 진건오남로536번길 6이며, 해당 강좌는 주로 (1, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
아이펄짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 와부읍 덕소로97번길 9이며, 해당 강좌는 주로 (1, 6, 7, 8, 9, 10)월에 개최하며, 가격은 95500원 입니다."
백년탁구교육원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 와부읍 수레로1번길 8이며, 해당 강좌는 주로 (1, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
와부체육문화센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 와부읍 월문천로 51이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 18000원 입니다."
키즈태권도현대체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 의안로 121-20이며, 해당 강좌는 주로 (6, 7, 8, 10)월에 개최하며, 가격은 110000원 입니다."
진접체육문화센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 금강로 1509-24이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 45500원 입니다."
진접체육문화센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 금강로 1509-24이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 27500원 입니다."
