정보,위치주소,시설이름,우편번호,주소,종목명,상세종목,가격,월,개최월,년도
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 기아로 46 소하스타클래스으로, 우편번호가 14327이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 소하스타클래스태권도이며, 강좌는 (5, 7, 8)월에 개최되며, 가격은 140000원입니다. ",경기 광명시,소하스타클래스,14327,경기도 광명시 기아로 46,태권도,소하스타클래스태권도,140000,7,"(5, 7, 8)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 목감로 120 광명장애인종합복지관으로, 우편번호가 14284이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 레저스포츠(9월)이며, 강좌는 (7)월에 개최되며, 가격은 48000원입니다. ",경기 광명시,광명장애인종합복지관,14284,경기도 광명시 목감로 120,기타종목,레저스포츠(9월),48000,7,-7,2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 신기로 7 점핑클럽으로, 우편번호가 14344이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도 및 줄넘기이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,점핑클럽,14344,경기도 광명시 신기로 7,태권도,태권도 및 줄넘기,110000,7,"(7, 8, 9)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 안현로 52 네오키즈광명으로, 우편번호가 14247이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 수영 개인레슨이며, 강좌는 (5, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,네오키즈광명,14247,경기도 광명시 안현로 52,수영,수영 개인레슨,110000,7,"(5, 7, 8, 9)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 안현로 52 네오키즈광명으로, 우편번호가 14247이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 수영개인레슨이며, 강좌는 (3, 4, 5, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,네오키즈광명,14247,경기도 광명시 안현로 52,수영,수영개인레슨,110000,7,"(3, 4, 5, 7, 8, 9)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 안현로 52 네오키즈광명으로, 우편번호가 14247이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 어린이수영강습이며, 강좌는 (5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,네오키즈광명,14247,경기도 광명시 안현로 52,수영,어린이수영강습,110000,7,"(5, 6, 7, 8, 9)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 오리로 970 로하스볼링라운지으로, 우편번호가 14220이고, 이용 가능한 종목은 볼링입니다. 제공하는 강좌의 강좌명은 볼링수업이며, 강좌는 (6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,로하스볼링라운지,14220,경기도 광명시 오리로 970,볼링,볼링수업,110000,7,"(6, 7, 8)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 하안로 180 경희대MTA태권도장으로, 우편번호가 14313이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도수업이며, 강좌는 (6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 광명시,경희대MTA태권도장,14313,경기도 광명시 하안로 180,태권도,태권도수업,110000,7,"(6, 7, 8)",2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 하안로287번길 11 평화탁구클럽으로, 우편번호가 14305이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 탁구레슨이며, 강좌는 (7)월에 개최되며, 가격은 140000원입니다. ",경기 광명시,평화탁구클럽,14305,경기도 광명시 하안로287번길 11,탁구,탁구레슨,140000,7,-7,2024
"경기 광명시에 있는 체육시설의 상세 주소는 경기도 광명시 하안로287번길 11 평화탁구클럽으로, 우편번호가 14305이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 탁구이며, 강좌는 (5, 6, 7, 8)월에 개최되며, 가격은 140000원입니다. ",경기 광명시,평화탁구클럽,14305,경기도 광명시 하안로287번길 11,탁구,탁구,140000,7,"(5, 6, 7, 8)",2024
"경기 광주시에 있는 체육시설의 상세 주소는 경기도 광주시 곤지암읍 광여로 555-40 베스트장애아동재활치료센터으로, 우편번호가 12722이고, 이용 가능한 종목은 댄스(줌바 등)입니다. 제공하는 강좌의 강좌명은 라인댄스 A이며, 강좌는 (1, 5, 6, 7, 8, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 광주시,베스트장애아동재활치료센터,12722,경기도 광주시 곤지암읍 광여로 555-40,댄스(줌바 등),라인댄스 A,110000,7,"(1, 5, 6, 7, 8, 10, 11, 12)",2024
